Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
1,Duke 1,ACC,32-2,38.88,128,4,89.1,2,65.4,287,0.049,62,14.29,15,117,23,102.7,10,10.1,18
2,Arizona 1,B12,32-2,37.6,127.6,6,90,3,69.8,55,0.023,126,14.93,9,117.6,15,102.7,9,3.21,101
3,Michigan 1,B10,31-3,37.58,126.6,8,89,1,71,22,0.045,67,16.66,3,119.2,3,102.5,5,12.49,11
4,Florida 1,SEC,26-7,33.75,125.5,9,91.8,6,70.6,28,-0.036,288,15.99,4,119.4,2,103.4,26,7.93,31
5,Houston 2,B12,28-6,33.37,124.8,13,91.5,5,63.3,352,-0.006,204,13.55,24,116.9,25,103.3,25,0.88,157
6,Iowa St. 2,B12,27-7,32.37,123.8,20,91.4,4,66.6,226,-0.012,219,12.4,31,115.5,48,103.1,20,-3.56,280
7,Illinois 3,B10,24-8,32.09,131.2,2,99.1,28,65.6,276,-0.05,306,13.65,23,117.1,22,103.4,27,3.77,91
8,Purdue 2,B10,27-8,31.18,131.6,1,100.5,36,64.4,325,-0.006,199,15.88,7,118.3,9,102.5,4,6.28,49
9,Michigan St. 3,B10,25-7,28.3,123,24,94.7,13,66.1,253,0.005,179,13.7,21,118.1,11,104.4,55,3.65,94
10,Gonzaga 3,WCC,30-3,28.19,122.1,29,93.9,9,68.6,111,0.072,28,6.01,87,113,81,107,98,8.32,27
11,Connecticut 2,BE,29-5,27.84,122,30,94.2,11,64.5,323,0.055,55,12.01,37,115.3,53,103.3,22,7.63,39
12,Vanderbilt 5,SEC,26-8,27.48,126.8,7,99.3,31,68.9,98,0.018,132,14.55,13,118,12,103.4,28,1.2,148
13,Virginia 3,ACC,29-5,26.69,122.6,27,95.9,16,65.8,270,0.056,52,9.95,70,115.4,50,105.4,72,-3.24,272
14,Nebraska 4,B10,26-6,26.15,118.5,55,92.4,7,66.8,218,0.034,97,11.61,42,116.4,32,104.8,63,-6.01,319
15,Arkansas 4,SEC,26-8,26.01,127.7,5,101.6,48,71,20,0.051,60,14.93,10,118.8,7,103.9,39,4.44,80
16,Tennessee 6,SEC,22-11,25.98,121,34,95.1,15,65,307,-0.06,321,14.74,11,119,4,104.3,51,0.77,160
17,St. John's 5,BE,28-6,25.87,120,44,94.2,12,69.6,68,0.061,45,11.5,43,115.1,58,103.6,31,6.57,44
18,Alabama 4,SEC,23-9,25.68,129,3,103.3,67,73.1,4,0.019,128,16.72,2,119.4,1,102.7,8,13.43,9
19,Louisville 6,ACC,23-10,25.4,124,19,98.7,25,69.7,61,-0.02,238,12.55,30,115.8,40,103.3,24,2.41,116
20,Texas Tech 5,B12,22-10,25.19,125,12,99.9,33,66.2,245,0.006,176,15.62,8,118.3,10,102.7,7,7.79,33
21,Kansas 4,B12,23-10,24.4,118.3,57,93.9,10,67.7,165,0.053,56,16.92,1,118,13,101,1,11.01,15
22,Wisconsin 5,B10,24-10,23.39,125.3,11,102,51,68.8,103,0.041,80,13.94,19,117.2,19,103.3,23,-1.08,219
23,BYU 6,B12,23-11,23.21,125.4,10,102.2,57,70,46,-0.017,231,14.25,16,116.2,34,102,3,4.9,74
24,Saint Mary's 7,WCC,27-5,23.15,120.4,40,97.2,20,65.2,298,0.011,156,5.09,93,111.5,96,106.4,90,3.87,90
25,Iowa 9,B10,21-12,22.44,121.7,31,99.3,30,63,357,-0.061,328,11.39,47,115.6,47,104.2,49,-7.17,336
26,Ohio St. 8,B10,21-12,22.23,124.3,16,102.1,54,66.1,252,-0.031,271,13.68,22,116.7,28,103,13,-1.81,236
27,UCLA 7,B10,23-11,21.66,123.7,21,102.1,53,64.7,318,0.017,135,12.24,34,116.1,35,103.9,37,-2.16,249
28,Kentucky 7,SEC,21-13,21.45,120.5,38,99.1,27,68.4,124,-0.019,234,15.91,5,119,5,103.1,16,1.35,140
29,Utah St. 9,MWC,28-6,20.84,122.2,28,101.4,45,67.7,159,0.065,39,7.23,79,112.8,83,105.6,75,2.01,125
30,North Carolina 6,ACC,24-8,20.82,121.4,32,100.6,37,68,144,0.057,49,11.46,45,115.4,49,103.9,40,1.33,141
31,Miami FL 7,ACC,25-8,20.67,121.4,33,100.7,38,67.6,168,0.021,127,8,77,113.6,76,105.6,79,-7.27,337
32,Georgia 8,SEC,22-10,20.45,124.7,14,104.3,83,71.4,16,-0.005,197,10.76,61,115.9,39,105.2,70,-6.43,327
33,Villanova 8,BE,24-8,19.94,120.4,41,100.4,35,65.2,295,0.067,35,10.36,67,114.7,65,104.4,56,2.88,109
34,N.C. State 11,ACC,20-14,19.49,123.2,23,103.7,71,69.1,87,-0.043,297,12.25,33,116.3,33,104,43,4.19,83
35,Santa Clara 10,WCC,26-8,19.48,123.7,22,104.2,82,69.2,82,0.015,142,6.13,85,111.9,93,105.8,81,3.94,88
